"day","females","males"
0,468.3,521.8
1,445.7,485.8
2,410.2,442.2
3,459,499.4
4,483.9,515.8
5,482,503.5
6,492.8,510.6
7,460.5,491.7
8,445.7,470.3
9,495.2,535.9
10,478.4,536.6
11,533.2,551.8
12,520,547
13,491,546
14,461.7,479.3
15,399.7,410.7
16,391.9,404.7
17,339.5,376.8
18,353.6,379.6
19,318.1,336.3
20,274.6,307.9
21,272.2,289
22,284,323.1
23,290.8,322
24,295.9,319.6
25,317.9,344.1
26,334.9,365.5
27,338.2,366.8
28,328.9,339.6
29,301.3,315.7
30,278.1,320.9
31,324.7,372.4
32,410.7,474.8
33,480.3,521.6
34,488.1,541.1
35,568.1,604.1
36,485.8,511.4
37,431.9,467.8
38,532.2,561.6
39,556,607.3
40,582.9,650.6
41,571.9,627.8
42,606.1,644.9
43,612,644.3
44,582.2,607.3
45,573.8,611.3
46,571.7,605.8
47,584.7,655.2
48,620.3,642.3
49,603.3,656.8
50,604.1,624.7
51,629.9,654.8
52,653.3,682.2
53,674.4,690.9
54,715.8,757.7
55,712.7,757.5
56,724.6,748.4
57,711.9,757.5
58,721.4,773.7
59,710.1,748.7
60,716.7,760.4
61,730.2,790.9
62,739.2,766.2
63,731.6,760.2
64,748.3,767.6
65,664.7,698.5
66,671.3,726.3
67,722.9,763.2
68,776.7,806.2
69,762.6,842.6
70,745.2,791.1
71,706.1,757.8
72,751.4,810.2
73,765.6,803.1
74,768.3,776.5
75,573.8,611.3
76,777.9,836.6
77,741.7,795.2
78,768.7,837.9
79,762.3,823.9
80,738,784
81,728.8,764
